ra,dec,mjd,mag_auto,filter,exposure
190.67261085575024,-26.721442513037587,56419.03797930339,21.175264,r,c4d_130507_005441_ooi_r_v1
190.67172225936045,-26.712462679518218,56690.24374588486,20.306173,r,tu2170181
190.65133387686416,-26.729070727301778,56690.245231799316,20.979946,r,tu2170517
190.65936398986614,-26.709828888658254,56734.29288211791,20.418755,i,c4d_140318_070259_ooi_i_v1
190.67099170871484,-26.72930681382845,56734.29345866153,20.865257,i,c4d_140318_070347_ooi_i_v1
190.6593437572638,-26.70984953428037,56734.29345866153,20.483349,i,c4d_140318_070347_ooi_i_v1
190.65520738077103,-26.727015383797326,56734.29345866153,21.143631,i,c4d_140318_070347_ooi_i_v1
190.67259047355992,-26.72145871978778,56734.29345866153,20.467722,i,c4d_140318_070347_ooi_i_v1
190.65245585267022,-26.7326908182738,56734.29345866153,21.002293,i,c4d_140318_070347_ooi_i_v1
190.66786477841816,-26.715675222084023,56734.29345866153,20.466654,i,c4d_140318_070347_ooi_i_v1
190.6553373778453,-26.7270730802853,56734.29402319342,20.963545,i,c4d_140318_070436_ooi_i_v1
190.65929380734738,-26.709852458970158,56734.29402319342,20.35461,i,c4d_140318_070436_ooi_i_v1
190.6678765918108,-26.715658611709117,56734.29402319342,20.549583,i,c4d_140318_070436_ooi_i_v1
190.65242922851624,-26.732706405590193,56734.29458866874,20.280788,z,c4d_140318_070525_ooi_z_v1
190.65932753125853,-26.709834951640232,56734.29458866874,20.50059,z,c4d_140318_070525_ooi_z_v1
190.6552747676307,-26.727014645510565,56734.295171627775,20.556028,z,c4d_140318_070616_ooi_z_v1
190.65747629575964,-26.71948287577013,56734.295171627775,20.655256,z,c4d_140318_070616_ooi_z_v1
190.67823147383558,-26.72876691171627,56734.295171627775,20.46368,z,c4d_140318_070616_ooi_z_v1
190.65936470449844,-26.70984231544752,56734.295171627775,20.596218,z,c4d_140318_070616_ooi_z_v1
190.65248245769038,-26.732628046309646,56734.295171627775,20.5073,z,c4d_140318_070616_ooi_z_v1
190.67253184089515,-26.721480498653353,56734.295760677196,20.252632,z,c4d_140318_070707_ooi_z_v1
190.65937982880854,-26.709857874850492,56734.295760677196,20.745422,z,c4d_140318_070707_ooi_z_v1
190.67818833875793,-26.72879804701135,56734.29749979125,20.479517,Y,c4d_140318_070937_ooi_Y_v1
190.65938767678173,-26.709839665138784,56736.372747200076,20.365139,i,c4d_140320_085758_ooi_i_v1
190.65333722836286,-26.733515645082264,56736.372747200076,20.842234,i,c4d_140320_085758_ooi_i_v1
190.66782650344012,-26.715653661762,56736.3733063899,20.465393,i,c4d_140320_085846_ooi_i_v1
190.67263480706535,-26.72147631654172,56736.3733063899,20.339268,i,c4d_140320_085846_ooi_i_v1
190.65936676618108,-26.709815416154136,56736.3733063899,20.484663,i,c4d_140320_085846_ooi_i_v1
190.65521895474976,-26.727009386395626,56736.3733063899,21.117765,i,c4d_140320_085846_ooi_i_v1
190.66785711395357,-26.71567128299859,56736.37386102229,20.544323,i,c4d_140320_085934_ooi_i_v1
190.65935318312845,-26.709846504059602,56736.37386102229,20.513128,i,c4d_140320_085934_ooi_i_v1
190.67260968839184,-26.72150282268543,56736.37386102229,20.357645,i,c4d_140320_085934_ooi_i_v1
190.6782554314318,-26.7288341005112,56736.37386102229,21.19838,i,c4d_140320_085934_ooi_i_v1
190.65527329094,-26.727051317060955,56736.374429365154,20.620583,z,c4d_140320_090023_ooi_z_v1
190.6573503891227,-26.719463467595403,56736.374429365154,20.48399,z,c4d_140320_090023_ooi_z_v1
190.65938697173763,-26.709872550074788,56736.374429365154,20.463976,z,c4d_140320_090023_ooi_z_v1
190.65242140089407,-26.732699653476413,56736.374429365154,20.387255,z,c4d_140320_090023_ooi_z_v1
190.6782585581934,-26.728845775720725,56736.37498781318,21.068136,z,c4d_140320_090112_ooi_z_v1
190.65931390836985,-26.70982247252916,56736.37498781318,20.571333,z,c4d_140320_090112_ooi_z_v1
190.65527912636017,-26.727006303008324,56736.37498781318,20.414692,z,c4d_140320_090112_ooi_z_v1
190.65251425605692,-26.732674412735008,56736.37498781318,20.577978,z,c4d_140320_090112_ooi_z_v1
190.65525146267353,-26.72701123931952,56736.3755542119,20.904753,z,c4d_140320_090200_ooi_z_v1
190.67253632200527,-26.721480869697338,56736.3755542119,20.274054,z,c4d_140320_090200_ooi_z_v1
190.65933399733814,-26.709858068067113,56736.3755542119,20.70062,z,c4d_140320_090200_ooi_z_v1
190.66317902044176,-26.72511317037342,56823.9649156481,20.60823,u,c4d_140615_231028_ooi_u_v1
190.66327013753533,-26.725077614087127,56823.96533284709,20.260546,u,c4d_140615_231104_ooi_u_v1
190.6631892133525,-26.725139376647725,56823.965750124305,20.446932,u,c4d_140615_231141_ooi_u_v1
190.6558962694736,-26.731043928772188,56823.96705480991,20.735048,g,c4d_140615_231354_ooi_g_ls9
190.65936160009258,-26.70983138562147,56823.96705480991,21.188581,g,c4d_140615_231354_ooi_g_ls9
190.65587667670658,-26.731026259310674,56823.967738683335,20.853737,g,c4d_140615_231453_ooi_g_ls9
190.6593520482027,-26.709856074655015,56823.967738683335,21.09257,g,c4d_140615_231453_ooi_g_ls9
190.65935728393055,-26.70985365447692,56823.968406564556,21.098589,g,c4d_140615_231553_ooi_g_ls9
190.65588160167462,-26.73104713740935,56823.968406564556,20.979239,g,c4d_140615_231553_ooi_g_ls9
190.65583888443348,-26.73106438409582,56823.969088939484,20.863882,g,c4d_140615_231623_ooi_g_v1
190.65933384348227,-26.709805085968707,56823.969088939484,20.844084,g,c4d_140615_231623_ooi_g_v1
190.6593466214369,-26.709851430631844,56823.96946639661,20.954092,g,c4d_140615_231655_ooi_g_v1
190.65935627704383,-26.70984563403672,56823.969833076466,20.960598,g,c4d_140615_231727_ooi_g_v1
190.65933492583017,-26.709851722126224,56823.971136430744,20.620928,r,c4d_140615_231949_ooi_r_ls9
190.67173638481185,-26.712465345707663,56823.971136430744,20.288923,r,c4d_140615_231949_ooi_r_ls9
190.67260947571577,-26.721412561573036,56823.9718072284,21.04933,r,c4d_140615_232046_ooi_r_ls9
190.6593683303202,-26.709861565532695,56823.9718072284,20.740314,r,c4d_140615_232046_ooi_r_ls9
190.67175192446524,-26.712474123628684,56823.9718072284,20.305918,r,c4d_140615_232046_ooi_r_ls9
190.65935738637708,-26.70984120038005,56823.97249017935,20.551077,r,c4d_140615_232144_ooi_r_ls9
190.67171823742515,-26.712466936737542,56823.97249017935,20.262959,r,c4d_140615_232144_ooi_r_ls9
190.67260840078296,-26.721450519609636,56823.97249017935,21.179968,r,c4d_140615_232144_ooi_r_ls9
190.65931100686242,-26.70988422001732,56823.973159512505,20.79573,r,c4d_140615_232215_ooi_r_v1
190.67172813977783,-26.712493030480285,56823.973159512505,20.33991,r,c4d_140615_232215_ooi_r_v1
190.65934673836463,-26.70986093216712,56823.97351373453,20.524046,r,c4d_140615_232247_ooi_r_v1
190.6717050450627,-26.71248404292141,56823.97351373453,20.437584,r,c4d_140615_232247_ooi_r_v1
190.65936757536952,-26.709844664968266,56823.97389161913,20.641645,r,c4d_140615_232320_ooi_r_v1
190.66786221829238,-26.715690669357148,56823.975168826524,20.729666,i,c4d_140615_232536_ooi_i_v1
190.65938275803188,-26.70986154654956,56823.975168826524,20.52956,i,c4d_140615_232536_ooi_i_v1
190.65248029491968,-26.73268556138451,56823.975168826524,20.686594,i,c4d_140615_232536_ooi_i_v1
190.6726247474246,-26.721449913895587,56823.975168826524,20.237684,i,c4d_140615_232536_ooi_i_v1
190.65936849545278,-26.709836133665366,56823.975845912006,20.404783,i,c4d_140615_232636_ooi_i_v1
190.66783912318618,-26.71566503626537,56823.975845912006,20.655045,i,c4d_140615_232636_ooi_i_v1
190.6552252299028,-26.726985249622707,56823.975845912006,20.965322,i,c4d_140615_232636_ooi_i_v1
190.67254688340174,-26.721480339200177,56823.975845912006,20.240118,i,c4d_140615_232636_ooi_i_v1
190.6524039492185,-26.73264606949614,56823.975845912006,20.713636,i,c4d_140615_232636_ooi_i_v1
190.653268973839,-26.733628776405563,56823.976531971246,20.9596,i,c4d_140615_232732_ooi_i_v1
190.6782149714349,-26.728808748008436,56823.976531971246,21.188923,i,c4d_140615_232732_ooi_i_v1
190.67260783269217,-26.72144222481635,56823.976531971246,20.475616,i,c4d_140615_232732_ooi_i_v1
190.66787800037494,-26.715693281943636,56823.976531971246,20.407625,i,c4d_140615_232732_ooi_i_v1
190.659314737191,-26.709873951082336,56823.976531971246,20.493315,i,c4d_140615_232732_ooi_i_v1
190.65245991481603,-26.73268983918362,56823.976531971246,20.724476,i,c4d_140615_232732_ooi_i_v1
190.6593567941703,-26.709862701129527,56823.97720948374,20.687105,i,c4d_140615_232807_ooi_i_v1
190.6725929440598,-26.72144827045869,56823.97720948374,20.582653,i,c4d_140615_232807_ooi_i_v1
190.6678718923634,-26.715726062312623,56823.97720948374,21.094553,i,c4d_140615_232807_ooi_i_v1
190.6593606323254,-26.709826580856102,56823.977574461605,20.45996,i,c4d_140615_232837_ooi_i_v1
190.6678625313591,-26.715654395542938,56823.977574461605,20.291645,i,c4d_140615_232837_ooi_i_v1
190.6524022314414,-26.732642761652656,56823.9779449231,20.77382,i,c4d_140615_232909_ooi_i_v1
190.65935880315206,-26.70984005860922,56823.9779449231,20.803694,i,c4d_140615_232909_ooi_i_v1
190.6678937080662,-26.715695167669793,56823.9779449231,20.303215,i,c4d_140615_232909_ooi_i_v1
190.67265894244858,-26.721418407443355,56823.9779449231,20.464912,i,c4d_140615_232909_ooi_i_v1
190.652381437326,-26.728218130918314,56823.979262267705,20.79748,z,c4d_140615_233130_ooi_z_ls9
190.6593198960214,-26.709817413729898,56823.979262267705,20.537973,z,c4d_140615_233130_ooi_z_ls9
190.6574013880949,-26.719489903880046,56823.979262267705,21.060371,z,c4d_140615_233130_ooi_z_ls9
190.67821533897902,-26.728793441987083,56823.979262267705,20.624645,z,c4d_140615_233130_ooi_z_ls9
190.6552751790199,-26.727015491261454,56823.979262267705,20.937695,z,c4d_140615_233130_ooi_z_ls9
190.65326942545184,-26.73356451236368,56823.979262267705,20.805285,z,c4d_140615_233130_ooi_z_ls9
190.6524148643314,-26.732693531986392,56823.979262267705,20.261042,z,c4d_140615_233130_ooi_z_ls9
190.67097797704633,-26.72928341487346,56823.97992483806,20.838387,z,c4d_140615_233229_ooi_z_ls9
190.6686803465443,-26.726863596975257,56823.97992483806,20.963377,z,c4d_140615_233229_ooi_z_ls9
190.6611698384354,-26.733515508760867,56823.97992483806,20.670633,z,c4d_140615_233229_ooi_z_ls9
190.65932965010722,-26.709837705180902,56823.97992483806,20.478117,z,c4d_140615_233229_ooi_z_ls9
190.65526886025782,-26.727047314981306,56823.97992483806,20.790297,z,c4d_140615_233229_ooi_z_ls9
190.6782294709791,-26.728775348873793,56823.97992483806,20.719213,z,c4d_140615_233229_ooi_z_ls9
190.65324244845664,-26.733549285213893,56823.97992483806,20.385332,z,c4d_140615_233229_ooi_z_ls9
190.65524455423255,-26.727050802451604,56823.98060441576,20.8036,z,c4d_140615_233327_ooi_z_ls9
