id,ra,dec,pmra,pmdec,pmraerr,pmdecerr,gmag,rmag,imag,ndet,mjd,deltamjd,class_star,flags,random_id
26103_4300,267.8344394606532,47.36240643159445,-19.332659,129.66739,205.91881,206.17433,21.59375,20.8478,99.99,7,57686.55270869431,380.04507,0.005648,0,0.000298
26568_3158,272.4897551767129,47.249840453123625,67.53284,119.06699,40.50212,40.780483,21.314161,20.056683,99.99,9,57903.168939303556,732.02405,0.19929,0,0.004064
28439_5380,269.10921095525686,45.49559651337629,13.993264,45.78211,101.85499,101.86559,19.962242,19.348495,99.99,9,57809.30935337374,735.96124,0.020886,2,0.004098
31373_1927,268.7904997270395,42.86711217839843,-9.718174,73.1474,17.227322,17.48631,18.78618,18.67165,99.99,8,57763.14018278703,743.9085,0.884277,3,0.004554
26568_1187,272.68644636418253,46.93984271908686,13.49001,67.53395,108.42971,108.91985,21.167048,20.639408,99.99,7,57696.96068537102,738.0039,0.007918,0,0.005552
32382_5270,268.56769092856763,42.333162441129886,513.2775,414.89673,864.6062,866.5203,21.70178,21.734375,99.99,4,57530.12156745419,74.83686,0.849609,0,0.00558
27025_129,267.88962928604485,46.321907260913825,106.48474,-16.908997,61.64831,62.142307,20.84375,20.2117,99.99,6,57654.566670359345,390.01633,0.887207,0,0.007071
31372_100,268.074034335197,42.76824647119008,-66.008125,-27.94461,72.642395,72.77856,21.538567,20.546667,99.99,9,57649.3938364177,427.7726,0.018463,0,0.007914
29405_170,271.53266992819465,44.58508178101675,-50.38427,-14.111171,52.392746,53.193794,21.609388,99.99,99.99,6,57652.39502417878,413.81577,0.043849,3,0.00861
28919_5814,269.87931304026955,45.2772648652446,86.45843,-46.17484,106.81063,107.07045,20.287325,19.63662,99.99,6,57824.090775266755,728.96576,0.011531,2,0.008729
28440_4404,269.8928453492092,45.45287318723514,64.75261,55.15136,311.32556,311.38705,21.984375,21.46875,99.99,6,57929.30088891066,395.8886,0.278493,0,0.009293
31374_4721,269.72971638757815,43.074222460876186,289.7522,-47.79887,120.95562,121.280304,21.6483,21.021006,99.99,8,57619.53423653124,380.99298,0.116838,2,0.009349
30878_4263,271.89299853641324,43.288727819556776,242.67868,-32.168587,291.62753,291.81195,21.728018,20.93988,99.99,7,57953.82718513447,717.07007,0.047976,3,0.012312
26566_2412,271.4157798388407,46.89346604322313,-27.343014,120.18273,56.43325,56.742535,21.015625,18.707968,99.99,6,57776.60170778019,738.00775,0.082492,3,0.013478
30874_3038,268.98191260012703,43.32233185365455,-93.70126,-45.42973,87.80944,87.93097,21.438873,20.588839,99.99,8,57764.12846361741,414.80466,0.051747,2,0.016517
30377_3574,267.7821848851441,44.0100971199662,66.166824,169.80553,225.57394,225.72958,21.720129,99.99,99.99,5,57675.60749663478,380.9999,0.349695,3,0.016695
28437_4563,267.45318421869325,45.48227200769931,67.49256,16.206976,87.49263,87.52676,20.101608,19.592484,99.99,9,57687.85698287349,735.96533,0.016794,0,0.01672
28917_2770,268.31882785164447,45.03836756386914,6.710135,-68.029045,40.221,40.461266,20.53125,20.30194,99.99,7,57631.85382146049,381.01892,0.948312,0,0.018087
26567_675,271.9981292259266,46.79222569271059,-8.681843,-2.604674,118.67127,118.81869,21.671875,21.053406,99.99,6,57666.71732212246,738.00793,0.014145,0,0.018546
29888_2166,268.6248769338897,44.112896857328984,-142.21779,26.254503,131.11794,131.34413,22,21.413656,99.99,7,57683.70838907787,397.0076,0.287676,3,0.018688
27030_7153,271.58015273581486,46.605193511056875,-65.77278,-19.61528,61.937263,62.32009,19.89647,19.180218,99.99,6,57969.68292986943,708.16296,0.244883,3,0.020108
30873_3605,268.16817116368765,43.313573099795924,-33.342976,29.670174,107.43697,107.812614,21.489254,20.677355,99.99,7,57690.38185182912,414.80164,0.02419,3,0.020393
27962_2989,267.66842515065656,45.78227477147554,-118.090675,-94.99928,39.897926,41.07247,21.633167,20.604195,99.99,9,57729.1839932657,735.9421,0.335863,0,0.021724
29403_4643,270.15604044538173,44.74725488039596,26.206278,-14.806944,131.29631,131.30603,20.765625,20.282652,99.99,6,57652.922275492376,396.9848,0.019052,0,0.022129
26568_499,272.91627992409434,46.882876559912134,0.043814,68.90851,137.95934,138.26512,21.388716,20.926294,99.99,8,57726.645952377585,738.0039,0.06328,0,0.022234
28921_2602,270.9576378790246,45.06892526836755,-34.202835,75.21585,19.99189,20.653633,19.40625,18.680607,99.99,6,57716.91516761241,396.98178,0.982422,3,0.022715
30876_2531,270.66164186120767,43.16718025426242,50.96455,236.16296,191.99446,193.30775,21.328125,21.867022,99.99,5,57672.98050604695,414.811,0.677649,3,0.022854
27965_3648,269.97712792668,45.832795511862365,-9.933563,26.460085,92.16584,92.40088,21.188536,20.299904,99.99,8,57798.29935339757,735.9358,0.028817,3,0.023777
26564_1981,269.8508127686901,46.919654161783214,-69.64418,-51.067806,122.999954,123.54399,21.94676,20.460844,99.99,7,57737.126643940675,729.964,0.076142,3,0.024121
26567_883,271.91734557029054,46.8575094334145,-60.227783,-109.61088,151.88676,152.00278,22.015625,21.447287,99.99,5,57689.977946408,738.00793,0.139485,0,0.024443
28923_5011,272.35171762270585,45.25138435038777,-108.0597,-59.791245,76.78972,77.003235,21.203125,20.828125,99.99,5,57823.799856954254,743.98834,0.813916,3,0.024617
28437_2908,267.46654470573685,45.3217554544358,-80.75278,-13.271148,32.561165,32.990543,21.766205,20.403357,99.99,8,57708.28788756131,735.96533,0.916992,0,0.024796
28439_582,268.5478586895913,45.09913844798895,-48.43568,179.35182,220.68149,220.79004,21.921875,21.49994,99.99,6,57646.43168014901,381.01892,0.124869,0,0.026837
27496_2550,271.0404400120562,46.21894124396944,-41.084988,-177.76982,35.9867,37.625507,20.925934,19.764267,99.99,7,57745.39153089334,743.96466,0.77145,0,0.028888
32388_6240,272.68322954634453,42.28020091250975,135.51215,196.37543,194.49013,195.04706,22.453125,21.24004,99.99,6,57591.41608093811,367.02493,0.878174,0,0.028942
32388_3378,272.78487180893853,42.01029450780709,51.547062,-12.123642,102.94839,103.29888,21.774206,20.843567,99.99,7,57787.9638610274,750.8814,0.075479,0,0.02973
27494_4805,269.6262696491851,46.35871605376061,-23.074202,64.68065,45.37829,45.847607,21.5,20.779425,99.99,8,57757.28392805328,729.964,0.773438,0,0.03048
27966_5860,270.34879903507453,45.6241592206014,-50.35708,1.837561,16.597996,18.20524,18.671875,17.797632,99.99,8,57891.047836794576,713.0836,0.623751,3,0.031243
32380_5299,267.0047651128264,42.33912034578335,15.404338,31.704136,109.60667,109.82916,21.770384,21.28043,99.99,7,57632.50861777338,427.76935,0.843157,0,0.031514
32382_920,268.0108120075291,42.04825555439994,88.02458,-7.68344,25.949383,24.939842,21.714315,20.644762,99.99,9,57571.4849226677,381.02686,0.766661,0,0.03179
30879_4313,272.6094444581839,43.49921573352453,67.375656,44.018364,100.34882,100.45647,21.606411,21.151918,99.99,11,57736.2955841188,744.98944,0.05768,0,0.032516
27966_3176,270.676539698204,45.82041912597199,24.54493,-0.470026,95.71592,95.66416,21.921875,21.682383,99.99,7,57793.24849521382,737.9986,0.837716,0,0.033199
31875_1410,267.86447887036314,42.50247328489115,66.328384,3.333308,51.197147,51.47916,20.557331,20.441324,99.99,11,57623.65718221652,427.76648,0.941362,0,0.033269
25650_6098,269.48418524705403,47.73566250344481,32.479233,40.716354,51.358536,51.66979,21.25654,20.23791,99.99,7,57799.689098573625,379.87793,0.976911,3,0.033829
30872_5053,267.28222973455735,43.33663221407802,-40.06067,-18.471405,223.90582,223.95628,22.158546,21.515625,99.99,5,57612.56324708611,413.80365,0.695508,2,0.03406
32385_814,270.21309666075706,42.147300077382695,64.21352,28.004736,81.01632,81.46527,20.490927,19.608223,99.99,8,57707.171329803765,427.77213,0.013601,0,0.037049
28440_5682,269.97050496570324,45.54629511613553,58.262676,5.530564,49.033924,49.98674,21.085386,19.62395,99.99,6,57880.2681965592,705.0477,0.836558,3,0.037609
31874_5639,267.6058250302389,42.87179274174929,11.714622,63.537495,69.08426,70.93365,20.49657,19.328278,99.99,9,57607.72310731917,421.78265,0.028278,0,0.039054
26562_1978,268.13449727323865,46.93091580160966,-29.07635,-15.945664,101.26389,101.53865,21.984375,21.714083,99.99,7,57732.420366786224,729.964,0.563331,0,0.039922
26108_719,271.74158479365315,47.287858266257054,-44.056313,-14.585869,97.117096,97.48014,21.7722,21.076712,99.99,6,57668.38962678487,384.0267,0.072048,0,0.040677
